15-Jan-2024 11:25:28.414 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
15-Jan-2024 11:25:28.414 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
15-Jan-2024 11:25:28.417 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 11:25:28.417 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 11:26:44.841 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 11:26:44.841 INFO [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 11:28:53.644 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 11:28:53.644 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 11:31:05.979 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 11:31:05.979 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 11:45:23.518 INFO [http-nio-8080-exec-32] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 11:45:23.519 INFO [http-nio-8080-exec-32] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 13:15:20.096 INFO [http-nio-8080-exec-47] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 13:15:20.096 INFO [http-nio-8080-exec-47] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 13:23:46.052 INFO [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 13:23:46.052 INFO [http-nio-8080-exec-51] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 13:24:01.736 INFO [http-nio-8080-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 13:24:01.736 INFO [http-nio-8080-exec-54] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 13:33:02.542 INFO [http-nio-8080-exec-62] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
15-Jan-2024 13:33:02.543 INFO [http-nio-8080-exec-62] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\TRJAVA-11\Documents\apache-tomcat-10.1.18\webapps\Gen1-Rutas.war.tmp
15-Jan-2024 13:33:54.628 INFO [http-nio-8080-exec-66] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/Gen1-Rutas'
